"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796CU1","Bill","17-Week","12/14/2022","12/20/2022","04/18/2023","98.532333"
"912810TL2","Bond","29-Year 11-Month","12/13/2022","12/15/2022","11/15/2052","108.967370"
"912796YL7","Bill","13-Week","12/12/2022","12/15/2022","03/16/2023","98.920639"
"912796X53","Bill","26-Week","12/12/2022","12/15/2022","06/15/2023","97.659278"
"91282CGA3","Note","3-Year","12/12/2022","12/15/2022","12/15/2025","99.739942"
"91282CFV8","Note","9-Year 11-Month","12/12/2022","12/15/2022","11/15/2032","104.129208"
"912796ZJ1","Bill","4-Week","12/08/2022","12/13/2022","01/10/2023","99.716111"
"912796ZT9","Bill","8-Week","12/08/2022","12/13/2022","02/07/2023","99.387111"
"912796CT4","Bill","17-Week","12/07/2022","12/13/2022","04/11/2023","98.545556"
"912796YK9","Bill","13-Week","12/05/2022","12/08/2022","03/09/2023","98.920639"
"912796ZP7","Bill","26-Week","12/05/2022","12/08/2022","06/08/2023","97.689611"
"912796ZH5","Bill","4-Week","12/01/2022","12/06/2022","01/03/2023","99.692778"
"912796ZM4","Bill","8-Week","12/01/2022","12/06/2022","01/31/2023","99.365333"
"912796Z93","Bill","17-Week","11/30/2022","12/06/2022","04/04/2023","98.535639"
"912796ZD4","Bill","52-Week","11/29/2022","12/01/2022","11/30/2023","95.394389"
"912796YB9","Bill","13-Week","11/28/2022","12/01/2022","03/02/2023","98.916847"
"912796ZG7","Bill","26-Week","11/28/2022","12/01/2022","06/01/2023","97.699722"
"912796ZA0","Bill","4-Week","11/23/2022","11/29/2022","12/27/2022","99.691222"
"912796ZL6","Bill","8-Week","11/23/2022","11/29/2022","01/24/2023","99.359111"
"912796Z85","Bill","17-Week","11/23/2022","11/29/2022","03/28/2023","98.545556"
"91282CFY2","Note","7-Year","11/22/2022","11/30/2022","11/30/2029","99.908851"
"91282CFS5","Note","1-Year 11-Month","11/22/2022","11/25/2022","10/31/2024","99.848062"
"91282CFX4","Note","2-Year","11/21/2022","11/30/2022","11/30/2024","99.990539"
"91282CFZ9","Note","5-Year","11/21/2022","11/30/2022","11/30/2027","99.555059"
"912796T33","Bill","13-Week","11/21/2022","11/25/2022","02/23/2023","98.945000"
"912796ZF9","Bill","26-Week","11/21/2022","11/25/2022","05/25/2023","97.727444"
"91282CEZ0","Note","9-Year 8-Month","11/17/2022","11/30/2022","07/15/2032","94.294626"
"912796X61","Bill","16-Day","11/17/2022","11/22/2022","12/08/2022","99.831111"
